Time,Frame.ID,Hand.Type,X..hands,Position.X,Position.Y,Position.Z,Velocity.X,Velocity.Y,Velocity.Z,Pitch,Roll,Yaw,Wrist.Pos.X,Wrist.Pos.Y,Wrist.Pos.Z,Elbow.pos.X,Elbow.Pos.Y,Elbow.Pos.Z,Grab.Strenth,Grab.Angle,Pinch.Strength
0.232999999999947,15,right,2,-32.17326,233.6876,163.903,-201.5813,206.8035,-12.30669,-0.1076648,-0.176327,-0.3922217,-1.516494,237.2784,222.7933,43.45712,133.3247,433.3982,0,0.5497164,0
0.232999999999947,15,right,2,-33.70766,107.6572,-47.81054,48.92482,-141.3536,-54.93493,-2.40346,-0.09983604,-2.834183,-16.94446,154.4162,-88.45804,195.4741,256.1374,-103.5236,0,0.2695364,0
0.25,16,right,2,-35.09478,237.2651,163.7227,-167.9807,205.6969,-10.3658,-0.04073621,-0.184563,-0.4305554,-2.284323,237.4854,221.6871,46.80671,136.2986,432.7196,0,0.5395126,0
0.25,16,right,2,-35.08062,107.2848,-49.3321,-79.8737,-21.66948,-88.51974,-2.428685,0.4598136,-2.691564,-13.23349,149.9478,-92.24914,194.1146,262.2827,-101.3832,0,0.4716462,0.09198859
0.266000000000076,17,right,2,-37.94333,240.4,163.3147,-164.9702,181.5549,-23.6321,0.02056884,-0.219361,-0.4761272,-2.838121,237.3373,219.88,46.38744,136.7237,431.155,0,0.4585965,0
0.267000000000053,17,right,2,-36.43573,108.6388,-50.87814,-77.50191,77.44158,-88.42078,-2.32677,0.8748317,-2.589637,-11.46606,152.4622,-90.63148,189.2933,274.8163,-70.11369,0,0.9385588,0.5628266
0.282999999999902,18,right,2,-40.46676,244.0383,162.8954,-146.3201,210.9687,-24.31314,0.06172611,-0.2499479,-0.5061479,-3.965207,238.2843,218.2665,43.26535,126.2822,424.199,0,0.363585,0
0.283000000000129,18,right,2,-34.36264,117.8345,-50.15365,119.9709,532.1577,41.92645,-2.187261,1.344246,-2.756586,-15.54666,166.4197,-86.07304,186.4916,273.955,-28.51872,0,1.271511,1
0.298999999999978,19,right,2,-42.46736,248.0283,162.4324,-114.9241,229.2025,-26.59385,0.115289,-0.2884778,-0.533813,-4.77808,239.0492,216.5077,40.46192,116.5245,416.8186,0,0.2810016,0
0.299999999999955,19,right,2,-32.13796,119.0636,-61.57647,127.0155,70.17464,-652.1733,0.04288196,-1.795826,-0.1325564,-11.62458,117.5277,-3.2487,171.4913,265.2493,-21.76125,0,1.270963,0.7744322
0.316000000000031,20,right,2,-43.75523,252.5389,162.0963,-74.57249,261.18,-19.4653,0.179442,-0.3351276,-0.5488144,-5.44477,240.2814,215.2001,42.47497,117.1622,414.5208,0,0.2521483,0
0.316000000000031,20,right,2,-23.70163,105.8285,-63.63151,495.148,-776.7991,-120.6152,0.7091154,-1.135387,-0.07961391,-2.251636,71.20815,-16.28168,182.5891,204.9935,43.9774,0,1.040436,0
0.33199999999988,21,right,2,-44.27898,256.9123,161.7159,-30.34161,253.3545,-22.03362,0.2517872,-0.3756313,-0.5535157,-5.634609,241.0152,213.831,53.72313,115.5096,408.5318,0,0.2385122,0
0.333000000000084,21,right,2,-22.72118,102.2142,-67.56178,55.29908,-203.8531,-221.6734,0.6930571,-1.09906,-0.05908968,-2.170366,68.60805,-19.04773,179.8903,204.8842,44.0279,0.0950178,0.7820175,0
0.349999999999909,22,right,2,-44.19552,261.0927,160.8757,4.819415,241.3758,-48.51582,0.3265147,-0.4120294,-0.5534725,-5.701341,241.4832,212.0145,61.79831,113.6364,402.4939,0,0.2385524,0
0.348999999999933,22,right,2,-24.996,97.75024,-69.38078,-132.9682,-260.9273,-106.3249,0.6409768,-1.293453,-0.07317242,-4.867925,65.52048,-20.26227,176.705,205.6007,35.45668,0,0.6143609,0
0.365999999999985,23,right,2,-43.49392,265.1814,160.3316,40.54995,236.3174,-31.44737,0.3996203,-0.4490083,-0.5422885,-5.711654,242.4635,210.9629,71.76608,127.0999,405.5698,0,0.2473583,0
0.365999999999985,23,right,2,-28.11297,94.33121,-70.8885,-179.0231,-196.3724,-86.5961,0.7033448,-1.314424,-0.202516,-3.060468,59.8659,-25.72713,175.3979,203.5222,30.94118,0,0.429689,0
0.383000000000038,24,right,2,-41.87415,269.1613,159.9063,92.93037,228.3308,-24.39759,0.4756214,-0.4726688,-0.5265541,-4.918545,242.9324,209.668,87.71817,132.2908,400.3517,0,0.3000884,0
0.382000000000062,24,right,2,-29.89094,90.58885,-71.7532,-102.2233,-215.1644,-49.71517,0.7559661,-1.19546,-0.3520643,1.25924,55.82419,-30.33434,176.3655,203.3203,26.92388,0,1.095145,0.5030633
0.398999999999887,25,right,2,-39.64983,273.3623,159.6634,128.7743,243.2145,-14.06415,0.5652198,-0.4916128,-0.4986923,-4.583987,242.7153,208.3977,96.29064,132.1385,394.8929,0,0.4002102,0
0.400000000000091,25,right,2,-32.48738,89.31628,-71.1046,-149.6163,-73.33032,37.37497,0.7428919,-1.200896,-0.3750271,-0.2863716,55.21476,-29.87589,176.3709,202.5571,22.83335,0,0.7410142,0
0.41599999999994,26,right,2,-36.83873,276.8757,159.4525,160.6613,200.799,-12.05318,0.6498426,-0.4982404,-0.4765749,-3.609259,242.1667,206.8024,101.9378,130.1999,389.8506,0,0.4248433,0
0.41599999999994,26,right,2,-34.36895,90.34164,-68.20043,-109.1528,59.48269,168.4746,0.7296082,-1.247916,-0.3518116,-3.01019,56.22794,-26.54965,176.3728,202.5417,19.38315,0,0.942386,0
0.432999999999993,27,right,2,-33.97295,280.209,158.7091,165.5186,192.5206,-42.93591,0.7179323,-0.4960487,-0.4529138,-2.459654,242.3173,204.8263,108.7321,130.9819,384.8936,0,0.4244761,0
