Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
2581.4,25783,right,1,2.186339,278.494,111.0105,292.4391,-72.30145,44.58212,0.9688153,-0.5952609,-0.3315951,23.18116,226.7737,150.7832,74.81139,76.19146,334.9146,0,0.33916,0
2581.415,25785,right,1,7.395316,276.8033,110.9141,243.3486,-104.3297,-14.29908,0.984839,-0.4593166,-0.288162,26.19433,224.3213,150.862,69.36951,65.55254,330.2316,0,0.2836833,0
2581.432,25786,right,1,9.803946,276.8037,110.5523,230.0286,0.03905231,-34.55125,0.9873221,-0.3635987,-0.2659417,27.5607,224.2396,150.905,67.39562,63.07711,328.9075,0,0.2325455,0
2581.448,25788,right,1,14.64241,276.7904,109.0344,228.6036,-53.46486,-74.1869,1.004147,-0.1803245,-0.1977967,29.584,223.4875,149.6507,66.77106,59.98317,326.0834,0,0.2788219,0
2581.466,25790,right,1,19.98727,277.7524,108.6357,260.517,13.87388,-11.25386,1.031838,-0.07086088,-0.1092575,31.76336,223.161,148.647,68.5596,58.67725,324.2493,0,0.409563,0
2581.48,25791,right,1,22.94729,277.5483,108.2498,276.7919,-19.08511,-36.08509,1.045239,-0.006459152,-0.05857119,32.97152,222.3282,147.9028,68.09986,56.08147,322.1815,0,0.4243895,0
2581.498,25793,right,1,28.55614,276.535,106.5007,261.353,-45.11488,-90.36201,1.036474,0.05765047,0.03195884,35.5491,221.3809,146.926,65.0155,53.80807,320.9838,0,0.4196907,0
2581.53,25796,right,1,36.88448,272.7166,103.329,271.1688,-87.24474,-92.54909,0.9886146,0.1106865,0.1693087,38.82454,219.4273,146.7362,59.30006,60.16759,329.6628,0,0.5024592,0.332814
2581.533,25796,right,1,36.88448,272.7166,103.329,271.1688,-87.24474,-92.54909,0.9886146,0.1106865,0.1693087,38.82454,219.4273,146.7362,59.30006,60.16759,329.6628,0,0.5024592,0.332814
2581.548,25797,right,1,39.72868,271.8309,102.3151,270.2847,-84.16804,-96.34869,0.9748775,0.1279308,0.2207119,39.65884,219.2074,146.5775,57.683,63.48521,332.7784,0,0.5252938,0.4778291
2581.566,25799,right,1,45.59039,269.6662,100.264,272.9916,-102.7775,-102.2318,0.9245792,0.1432026,0.3198083,41.10623,219.3967,146.9904,55.99982,69.46222,338.1524,0,0.5414587,0.6526136
2581.583,25801,right,1,51.02001,264.977,97.31094,248.3357,-237.978,-139.6407,0.8657373,0.1614728,0.3974463,42.23627,217.7527,146.5429,52.86613,73.10119,342.0115,0,0.5762234,0.7556089
2581.597,25802,right,1,53.6621,262.5179,96.35304,254.7575,-237.112,-92.36236,0.8236815,0.1763283,0.4253971,42.72086,217.4255,147.1261,49.45664,72.89986,342.8607,0,0.6240429,0.6463445
2581.615,25804,right,1,58.4729,257.3083,95.1601,206.8041,-286.6664,-55.62156,0.7364779,0.1905155,0.4808247,42.89884,216.6127,148.3266,37.72223,64.85258,338.5556,0,0.7017742,0.4095925
2581.631,25805,right,1,60.41389,253.8989,94.25524,181.6895,-319.1477,-84.7002,0.6861334,0.1959841,0.4982106,42.93046,215.6695,148.5675,33.68791,57.8923,333.6782,0,0.6662899,0.2156692
2581.647,25807,right,1,63.26071,246.2319,92.83747,124.0104,-384.2593,-92.17538,0.5844431,0.21305,0.5215066,43.00664,213.445,149.4948,37.205,53.49459,332.8722,0,0.7063545,0
2581.666,25808,right,1,64.22555,242.1308,91.71484,91.62747,-389.4688,-106.6122,0.5247015,0.2148392,0.5242556,43.09803,212.6174,149.7321,40.9017,55.27959,335.4336,0,0.6636133,0
2581.681,25810,right,1,65.39788,234.6644,90.34804,48.57797,-351.6207,-50.66463,0.4218152,0.1969443,0.5169752,43.72549,210.495,150.3981,47.72248,55.03115,337.6414,0,0.6953296,0
2581.698,25812,right,1,66.07372,228.6385,89.64383,26.45566,-291.9218,-51.0749,0.3247324,0.1597121,0.4863395,45.42694,208.832,151.3477,52.57421,45.26688,331.4599,0,0.6904597,0
2581.714,25813,right,1,66.22073,225.6523,88.86048,14.6432,-297.4374,-78.02282,0.2609777,0.130632,0.470739,46.18016,208.759,151.4099,55.6197,39.99476,326.5515,0,0.5554644,0
2581.731,25815,right,1,65.82095,219.7756,87.93878,-30.84011,-275.9315,-26.63733,0.1542306,0.09000585,0.4463875,46.8803,207.8365,151.5173,60.04591,29.31916,316.4515,0,0.3974437,0
2581.748,25817,right,1,65.10819,215.7493,87.88235,-39.83059,-187.1836,-4.832377,0.07729895,0.06140292,0.4252112,47.29817,207.4014,151.9809,62.42324,21.48257,308.3474,0,0.4286693,0
2581.764,25818,right,1,64.65575,214.2158,87.87834,-44.31789,-150.2118,-0.3922205,0.04320004,0.04256706,0.4128489,47.56457,207.6644,152.3087,62.53355,22.58942,309.6879,0,0.4925689,0
2581.781,25820,right,1,63.50507,212.6317,87.98609,-67.57775,-70.73016,5.050569,-0.003748519,-0.005091927,0.3867502,47.86738,208.409,152.9067,58.23903,23.84691,311.2554,0,0.6598476,0
2581.798,25822,right,1,60.80766,209.6157,87.80395,-149.3881,-163.1715,-9.090668,-0.04430937,-0.05116178,0.3740879,45.96551,207.4545,152.972,53.84385,24.78669,313.6439,0,0.7974821,0
2581.814,25823,right,1,59.10745,207.857,87.69781,-167.6564,-173.4212,-10.46611,-0.07020106,-0.0788297,0.3642322,44.96595,207.0752,153.0394,53.1435,26.50449,316.0498,0,0.8034816,0
2581.831,25825,right,1,54.77962,204.8223,87.53944,-226.5603,-149.4327,-24.20017,-0.1301507,-0.1361129,0.3288448,42.87371,207.3015,153.2297,48.86361,30.81456,320.7455,0,0.757056,0
2581.848,25826,right,1,52.26569,203.3643,87.1869,-242.143,-140.4341,-33.9563,-0.1688697,-0.1730698,0.2981741,42.20614,208.0883,153.0624,44.94965,36.07649,325.2526,0,0.7482266,0
2581.864,25828,right,1,46.5966,201.2503,85.87186,-276.407,-87.22438,-68.69287,-0.2349672,-0.2473363,0.2233607,41.14919,209.9886,151.9526,40.82214,49.98047,335.3711,0,0.7553566,0
2581.895,25831,right,1,36.51207,200.0787,84.06377,-346.3811,-22.68598,-21.70164,-0.3103434,-0.3656924,0.07301355,40.43725,212.1031,149.4429,47.24154,47.52756,328.6456,0,0.7151001,0
2581.899,25831,right,1,36.51207,200.0787,84.06377,-346.3811,-22.68598,-21.70164,-0.3103434,-0.3656924,0.07301355,40.43725,212.1031,149.4429,47.24154,47.52756,328.6456,0,0.7151001,0
2581.914,25833,right,1,29.04211,198.8055,82.89026,-347.9692,-27.82212,-35.97451,-0.3556382,-0.4363078,-0.04643684,40.30801,212.9378,146.9881,57.68445,53.74386,330.2922,0,0.7027129,0
2581.931,25834,right,1,25.29404,199.3383,83.75832,-352.1959,50.06726,81.56921,-0.3503938,-0.4512176,-0.1091152,40.32754,212.8278,147.2501,63.41796,53.31821,329.6469,0,0.6932123,0
2581.948,25836,right,1,18.84469,203.9079,88.45646,-273.1545,264.1526,273.1362,-0.310016,-0.4965336,-0.2345478,41.30109,214.66,150.6238,74.90167,64.27242,339.0373,0,0.5827892,0
2581.964,25837,right,1,15.68553,207.2985,91.15335,-293.166,314.6396,250.2681,-0.2970135,-0.472876,-0.2806709,41.09873,217.3107,152.3908,85.03147,68.93014,340.269,0,0.5789518,0
2581.981,25839,right,1,8.617741,210.6347,92.9466,-327.9541,147.0451,91.2143,-0.2443412,-0.51813,-0.3690464,39.69638,217.1623,152.3865,103.8187,74.33965,338.7599,0,0.456767,0
2581.999,25840,right,1,6.127596,212.5406,94.62447,-236.5035,181.0189,159.3569,-0.2275741,-0.5567228,-0.4037472,39.14225,217.4946,153.1959,105.3612,71.35096,336.2318,0,0.3802012,0
2582.015,25842,right,1,2.205935,216.7412,96.54043,-158.4032,290.2654,141.5515,-0.1897857,-0.665904,-0.4669361,38.59801,218.2837,153.407,108.741,67.67924,331.2927,0,0.2841581,0
2582.031,25844,right,1,-1.014487,223.4098,98.47296,-165.0571,285.847,39.34536,-0.08002229,-0.7252575,-0.5176082,38.11117,218.6089,153.6057,114.3606,65.22023,326.5304,0,0.2536245,0
2582.048,25845,right,1,-3.277296,227.4204,99.10564,-216.7649,384.1888,60.60688,-0.002531659,-0.7479289,-0.5485626,37.24944,218.4335,152.8094,114.8385,61.65851,322.0625,0,0.2751974,0
2582.064,25847,right,1,-5.331885,233.2818,101.187,-94.21752,280.4609,90.53969,0.1154642,-0.7921253,-0.5878614,36.4544,218.0595,152.5887,111.5286,53.79606,315.7647,0,0.2517864,0
2582.081,25849,right,1,-6.309025,238.6439,103.0938,-42.44799,293.3156,97.74252,0.2447654,-0.8595544,-0.6112189,35.70765,217.4386,152.46,115.5104,59.07624,319.1871,0,0.2567822,0
2582.098,25850,right,1,-6.442472,242.5649,104.424,-13.663,401.4557,136.1964,0.2931889,-0.9053561,-0.6192166,35.42387,219.2318,153.0833,117.2075,67.87939,325.272,0,0.2626913,0
