Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
1391.711,32579,right,1,18.86755,239.652,160.6277,-113.0605,-408.1076,-83.88154,-0.05300082,-0.1497669,0.2959549,8.788897,239.21,226.2812,6.349765,94.45158,416.6032,0.007773984,0.7915562,0
1391.728,32581,right,1,16.13106,234.0795,160.1264,-157.5235,-320.7757,-28.85208,-0.1514469,-0.1730502,0.2522008,8.733214,239.4702,225.7589,5.764127,102.5504,421.7883,0.0563815,0.8114128,0
1391.745,32583,right,1,12.59595,229.4558,161.0842,-203.9524,-266.7569,55.25728,-0.2238882,-0.1617411,0.2044015,7.960113,239.3484,226.2774,2.661481,108.0635,426.0762,0.05184469,0.7966055,0
1391.762,32585,right,1,7.927849,225.4673,162.6469,-267.989,-228.9738,89.70944,-0.2782989,-0.1274621,0.1501241,6.297452,238.7543,227.162,-1.286585,109.0744,427.933,0,0.7441023,0
1391.779,32585,right,1,7.927849,225.4673,162.6469,-267.989,-228.9738,89.70944,-0.2782989,-0.1274621,0.1501241,6.297452,238.7543,227.162,-1.286585,109.0744,427.933,0,0.7441023,0
1391.796,32587,right,1,2.785684,222.6691,164.0591,-295.6797,-160.8979,81.2033,-0.3087382,-0.09365182,0.08363249,4.83395,237.9426,227.9784,-3.067398,110.2706,430.02,0,0.7018411,0
1391.811,32589,right,1,-1.939292,220.8001,165.458,-273.4994,-108.1842,80.97573,-0.3233602,-0.05619746,0.02247302,3.441858,237.1909,228.8394,-3.791939,112.9057,433.0066,0,0.664319,0
1391.828,32591,right,1,-6.253982,219.6407,166.1936,-245.8232,-66.0559,41.90597,-0.3221225,-0.03622791,-0.04054945,2.664954,236.0712,229.1603,-1.845956,114.4409,434.9979,0,0.637988,0
1391.845,32593,right,1,-10.3157,219.2897,166.9927,-238.1403,-20.58044,46.85691,-0.3007605,-0.008837557,-0.09782321,1.966941,234.4165,229.702,3.901541,109.4548,433.575,0,0.6392282,0
1391.861,32595,right,1,-14.04742,219.5059,166.2574,-215.3824,12.47998,-42.44173,-0.2894746,-0.02911676,-0.1654639,2.36267,233.6566,228.2932,12.07993,109.1283,432.2091,0,0.6090023,0
1391.877,32597,right,1,-17.46896,221.1992,165.9806,-195.2263,96.61633,-15.79204,-0.2717393,-0.06762212,-0.2254346,2.729008,234.2485,227.3512,21.72659,117.8326,435.3652,0,0.5785268,0
1391.894,32599,right,1,-21.28654,224.2342,165.315,-220.5038,175.3043,-38.44637,-0.2486023,-0.1070959,-0.2646231,1.647667,235.7037,226.2047,31.64155,121.5755,434.1915,0,0.5943329,0
1391.91,32601,right,1,-25.01074,227.1737,164.7299,-213.875,168.8097,-33.60213,-0.2082756,-0.1498841,-0.3084787,0.6366687,236.4798,225.1617,35.57476,132.8212,437.806,0,0.5678327,0
1391.927,32603,right,1,-28.65103,230.0741,164.1181,-210.531,167.7399,-35.38422,-0.1599216,-0.1709219,-0.3485442,-0.4921018,236.5058,223.9159,40.60203,131.9902,435.0348,0,0.5617443,0
1391.944,32605,right,1,-32.17326,233.6876,163.903,-201.5813,206.8035,-12.30669,-0.1076648,-0.176327,-0.3922217,-1.516494,237.2784,222.7933,43.45712,133.3247,433.3982,0,0.5497164,0
1391.961,32607,right,1,-35.09478,237.2651,163.7227,-167.9807,205.6969,-10.3658,-0.04073621,-0.184563,-0.4305554,-2.284323,237.4854,221.6871,46.80671,136.2986,432.7196,0,0.5395126,0
