Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
1706.426,65670,right,1,93.3028,180.1952,27.39923,-158.7731,-355.4219,141.0046,-0.07734593,-0.09118574,-0.2798075,121.5493,182.3578,86.75875,255.6858,64.03492,240.7178,0,0,0
1706.443,65672,right,1,90.41601,174.7265,29.62693,-167.0013,-316.3635,128.8728,-0.1615621,-0.07581116,-0.3236101,121.0661,181.3332,87.28323,260.3354,65.50965,238.5619,0,0.07971492,0
1706.458,65674,right,1,87.76658,169.8873,32.45791,-153.6881,-280.7151,164.2198,-0.2410285,-0.04556375,-0.3660553,120.5095,180.5133,88.13446,263.9508,65.46069,236.066,0,0.2866067,0
1706.476,65676,right,1,84.10835,164.5718,33.43358,-210.7035,-306.1564,56.19538,-0.3472397,-0.007764027,-0.4178852,118.9481,180.2727,86.30666,264.3363,66.80938,233.5636,0,0.3848475,0
1706.492,65678,right,1,79.86152,158.2774,34.14881,-243.7764,-361.3087,41.05578,-0.4488879,0.005005539,-0.4795185,116.9615,178.292,83.74775,263.8816,68.96205,232.6024,0,0.3653853,0
1706.508,65680,right,1,76.51125,154.7607,36.3958,-192.6103,-202.1794,129.1819,-0.5250978,0.01539847,-0.5259797,115.1648,177.8324,83.30691,265.8325,73.47025,231.9813,0,0.3355272,0
1706.525,65682,right,1,72.82173,151.7497,38.91524,-212.7752,-173.6446,145.2962,-0.6015517,0.007271163,-0.5784173,113.1451,177.5087,82.8855,268.5219,79.07199,230.7522,0,0.3326706,0
1706.542,65684,right,1,68.61385,149.6183,41.4529,-244.2605,-123.7265,147.3074,-0.6663408,0.01239697,-0.6353351,110.5195,177.251,82.63423,267.1316,82.15359,231.3804,0,0.3568262,0
1706.558,65686,right,1,65.71925,148.7199,45.50735,-165.4719,-51.35482,231.7758,-0.6966797,-0.03495976,-0.6812726,109.0898,176.392,85.11288,263.0271,81.00622,236.444,0,0.3950417,0
1706.575,65688,right,1,64.08942,150.8065,49.98389,-93.88481,120.1944,257.8649,-0.6846545,-0.07579083,-0.738432,109.8498,176.4584,88.41043,260.3799,81.43504,243.354,0,0.4949861,0
1706.592,65690,right,1,62.80578,155.0453,54.52354,-73.94609,244.1829,261.516,-0.6823999,-0.1408367,-0.7983612,110.8559,178.597,91.50889,255.1758,80.50327,250.3978,0,0.4596843,0
1706.608,65692,right,1,61.35188,159.6222,58.35834,-84.10369,264.7639,221.8311,-0.6506254,-0.198183,-0.8347787,111.2234,180.7786,94.6957,255.2941,87.58279,256.728,0,0.4469608,0
1706.625,65694,right,1,59.23107,164.2581,61.29272,-121.4669,265.5142,168.063,-0.6199422,-0.2496495,-0.8670248,110.6729,183.0099,96.93206,253.6002,90.23145,260.2116,0,0.3986295,0
1706.642,65696,right,1,56.47621,168.0425,62.95127,-160.0549,219.8688,96.35993,-0.592141,-0.3017065,-0.9039682,109.649,184.3876,97.42361,254.6696,92.20185,259.186,0,0.3288386,0
1706.658,65698,right,1,54.11327,173.912,65.33453,-137.3638,341.2095,138.5458,-0.5573448,-0.3567354,-0.9333068,108.7574,187.6878,98.80103,256.4293,93.22585,256.8081,0,0.2960092,0
1706.675,65700,right,1,51.77985,177.5318,67.183,-132.9963,206.3189,105.3557,-0.5079631,-0.4263096,-0.9635205,107.9197,188.4814,99.56717,260.9376,98.73235,255.217,0,0.2454369,0
1706.691,65702,right,1,50.8903,182.7327,69.52982,-51.92987,303.6096,137.0009,-0.4612563,-0.5259898,-1.003412,108.4448,190.7464,100.5378,263.0495,107.5698,258.2569,0,0.1313912,0
1706.709,65704,right,1,50.12629,187.2931,70.99993,-44.00719,262.6817,84.67857,-0.3810666,-0.6058854,-1.027018,108.5926,191.9461,101.2269,264.7249,113.7042,259.9631,0,0.0425545,0
1706.725,65706,right,1,50.3126,192.8394,72.08871,10.69443,318.3693,62.49847,-0.3028226,-0.6372272,-1.041543,109.3791,194.7626,101.6184,268.5166,118.8463,258.4886,0,0,0
1706.742,65708,right,1,50.93286,198.3729,72.73281,35.72326,318.6926,37.09615,-0.1995156,-0.6653438,-1.045691,110.2397,196.9523,101.9511,270.8656,116.9998,255.2586,0,0,0
1706.758,65710,right,1,51.25949,204.7698,72.78545,18.92291,370.5989,3.049349,-0.09405886,-0.664489,-1.043628,110.531,200.0852,101.8074,270.9597,111.0046,250.2107,0,0,0
1706.776,65712,right,1,50.64633,209.5998,71.28459,-35.07981,276.3332,-85.86634,0.04185943,-0.693752,-1.047461,109.7513,200.7017,99.76012,269.5065,103.0549,243.4252,0,0,0
1706.792,65714,right,1,50.73951,213.3028,69.83696,5.414824,215.1802,-84.12077,0.1430471,-0.7190232,-1.03767,109.1792,201.1235,98.51065,265.0292,93.83281,239.563,0,0,0
1706.809,65716,right,1,51.65783,216.6304,68.54063,52.69209,190.9303,-74.38213,0.2230641,-0.748224,-1.019901,109.1333,201.6266,97.85001,259.9393,86.0664,237.8488,0,0,0
1706.827,65716,right,1,51.65783,216.6304,68.54063,52.69209,190.9303,-74.38213,0.2230641,-0.748224,-1.019901,109.1333,201.6266,97.85001,259.9393,86.0664,237.8488,0,0,0
1706.843,65718,right,1,52.85365,219.4482,67.57251,69.33511,163.3823,-56.13238,0.2878309,-0.7582673,-1.005952,109.4038,202.0056,97.28528,253.1736,76.85589,236.44,0,0.01052166,0
1706.86,65720,right,1,53.96733,221.3446,66.13937,64.03428,109.0371,-82.4023,0.3324795,-0.7836335,-0.9882566,109.5273,201.9232,96.48939,247.667,69.6809,234.785,0,0.0197996,0
1706.875,65722,right,1,55.98389,222.9957,64.91273,116.5031,95.39137,-70.86693,0.3370828,-0.8258063,-0.959913,110.5526,202.6015,96.48965,246.6354,64.73135,231.2842,0,0.03332231,0
1706.892,65724,right,1,57.69888,224.1776,63.47982,99.12115,68.3093,-82.81752,0.3370314,-0.8631511,-0.9346757,111.4192,203.1305,96.15452,246.9821,62.05502,228.1268,0,0.03695463,0
1706.909,65726,right,1,59.61902,225.2879,62.32856,110.3465,63.80475,-66.16097,0.3319524,-0.8895748,-0.9123844,112.7095,203.9971,95.96224,250.3395,62.60859,225.4363,0,0.03747701,0
1706.925,65728,right,1,61.12771,225.6881,60.64234,86.19115,22.86258,-96.33334,0.3325703,-0.9253447,-0.8944083,113.6047,204.0913,95.13223,253.4028,65.53777,225.3463,0,0.04957103,0
1706.942,65730,right,1,62.88929,225.537,59.18365,101.9198,-8.741667,-84.39509,0.3147079,-0.9412985,-0.8771919,114.9493,204.3808,94.60921,255.8212,67.81384,225.7611,0,0.06648574,0
1706.958,65732,right,1,64.3567,225.0072,57.1756,84.6693,-30.56653,-115.8651,0.3006964,-0.9657311,-0.8606495,115.9465,204.1866,93.52741,258.0759,70.82359,226.6057,0,0.08659405,0
1706.975,65734,right,1,66.14701,224.7856,55.33786,104.1426,-12.88975,-106.901,0.2824884,-0.9787315,-0.8462331,117.3191,204.4606,92.55502,258.3645,72.08701,227.7574,0,0.1029341,0
1706.992,65736,right,1,67.82408,223.3291,53.30454,95.63586,-83.05788,-115.951,0.2627863,-0.9687667,-0.828567,118.5208,203.6936,91.51373,257.7336,72.42429,229.6601,0,0.1277955,0
1707.008,65738,right,1,69.27342,222.1578,51.19562,83.59348,-67.55736,-121.6362,0.2535114,-0.9564773,-0.8111684,119.4617,202.8766,90.25121,257.9545,72.94584,230.3726,0,0.1574414,0
1707.025,65740,right,1,71.17657,219.5525,49.59552,109.9386,-150.5018,-92.43224,0.2185581,-0.9494888,-0.7898967,120.8359,201.2969,89.75958,256.7998,66.82877,228.065,0,0.1254827,0
1707.042,65742,right,1,72.82056,216.7207,47.75159,94.42292,-162.6469,-105.9059,0.1751555,-0.92901,-0.7777267,122.2704,199.9489,88.70293,254.0038,60.06179,225.7218,0,0.06163654,0
1707.058,65744,right,1,74.08725,213.3822,45.40153,72.74771,-191.7338,-134.9679,0.1230708,-0.9097638,-0.7659525,123.297,198.4708,87.20215,249.7163,53.45113,223.8905,0,0.0128815,0
1707.075,65746,right,1,75.4231,210.3499,42.69651,77.87421,-176.7658,-157.6907,0.08795398,-0.8722697,-0.7604488,124.5076,196.8455,84.95395,245.0555,47.81274,222.6264,0,0,0
1707.091,65748,right,1,76.13889,206.7821,39.24138,41.39175,-206.3163,-199.7993,0.04369357,-0.8242946,-0.750094,124.938,195.2074,82.2071,239.7272,43.71533,222.0994,0,0,0
1707.109,65750,right,1,76.95178,203.7063,35.38072,46.53852,-176.0933,-221.0256,0.02899909,-0.7555149,-0.7249537,124.8951,193.2771,79.49599,236.5734,42.81009,222.9669,0,0.02571264,0
1707.125,65752,right,1,77.81763,200.0478,32.05177,49.84415,-210.6111,-191.6389,0.004807792,-0.6673024,-0.703474,125.1613,191.4661,77.12741,237.2043,44.56597,223.9708,0,0.07582361,0
1707.142,65754,right,1,79.34129,196.3513,29.06512,88.19538,-213.9623,-172.878,-0.02697942,-0.5896715,-0.6811197,126.0088,189.9328,75.13069,239.5947,46.93786,224.6197,0,0.1563297,0
1707.158,65756,right,1,82.1916,193.015,28.11502,164.9776,-193.1112,-54.99208,-0.07511996,-0.5323494,-0.6509929,127.8957,189.4076,75.39764,246.118,50.84824,225.4678,0,0.1278293,0
1707.175,65758,right,1,85.42751,189.9579,28.29552,185.9609,-175.683,10.37255,-0.1331708,-0.4738131,-0.6236418,130.131,189.4629,76.51098,251.1602,50.96591,224.3852,0,0.1028173,0
1707.192,65760,right,1,88.24254,186.4969,27.35249,162.8595,-200.2331,-54.55741,-0.2113732,-0.4168122,-0.598024,131.7783,190.0813,76.26957,254.0759,51.8731,223.3683,0,0.1079099,0
1707.209,65762,right,1,91.21754,184.0731,26.70809,168.8999,-137.6059,-36.58449,-0.2774579,-0.3469158,-0.5725616,133.3332,191.2326,76.14516,253.248,49.96349,222.2949,0,0.1173789,0
1707.226,65764,right,1,94.8023,181.6784,25.64959,209.2923,-139.8135,-61.79948,-0.3006808,-0.22798,-0.5314304,134.8112,191.2365,76.19691,254.425,50.52239,223.1267,0,0.2134005,0
1707.243,65764,right,1,94.8023,181.6784,25.64959,209.2923,-139.8135,-61.79948,-0.3006808,-0.22798,-0.5314304,134.8112,191.2365,76.19691,254.425,50.52239,223.1267,0,0.2134005,0
1707.26,65766,right,1,97.78153,179.2675,24.3401,171.5161,-138.7974,-75.388,-0.2991875,-0.1388623,-0.4828354,135.446,190.1052,76.37246,257.7628,53.56479,225.0049,0,0.3612133,0
1707.277,65768,right,1,100.1469,177.4131,23.06068,136.6662,-107.1393,-73.92059,-0.2761861,-0.09818777,-0.4340403,135.696,188.1224,76.68433,263.7167,56.43436,224.8911,0,0.4253221,0
1707.292,65770,right,1,102.5589,177.0974,22.06818,139.325,-18.23779,-57.33023,-0.2362212,-0.09148952,-0.3879646,136.1866,186.4729,77.32382,269.7711,59.4574,224.6958,0,0.4016424,0
1707.31,65772,right,1,104.7633,177.6598,20.2588,126.922,32.38451,-104.179,-0.1988064,-0.09140653,-0.3448305,136.4906,185.6525,76.98853,274.5612,63.62419,224.4397,0,0.3571786,0
