Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
9294.339,48982,right,1,51.75264,219.992,56.39912,25.86534,59.52612,2.236919,0.1144067,-0.04211551,-0.5521873,95.3071,212.789,105.7342,274.7488,84.97192,193.5894,0,0.8828226,0.2363869
9294.355,48983,right,1,52.07692,221.4914,56.17074,17.82546,82.42278,-12.55351,0.1382042,-0.04729721,-0.5370926,95.0598,213.2349,105.8968,278.2391,88.88449,190.9695,0,0.7908033,0.2329826
9294.371,48984,right,1,52.08363,222.7189,55.80968,0.3520965,64.43173,-18.95245,0.1688636,-0.05605341,-0.5250696,94.55258,212.9614,105.745,280.1092,89.9536,187.5549,0,0.7547419,0.2523407
9294.388,48985,right,1,51.81207,223.6751,55.68926,-14.81952,52.18402,-6.571521,0.2022019,-0.06068617,-0.5198995,93.93687,212.2215,105.5725,279.689,87.62975,184.4909,0,0.7523147,0.2561151
9294.404,48986,right,1,51.43011,224.8562,55.78832,-20.83692,64.43351,5.403799,0.243964,-0.06906332,-0.5179982,93.25601,211.3161,105.4497,278.624,85.22347,182.8734,0,0.7446375,0.2500823
9294.421,48986,right,1,51.43011,224.8562,55.78832,-20.83692,64.43351,5.403799,0.243964,-0.06906332,-0.5179982,93.25601,211.3161,105.4497,278.624,85.22347,182.8734,0,0.7446375,0.2500823
9294.438,48987,right,1,50.85767,225.5463,55.78447,-31.03668,37.41089,-0.2087236,0.3007464,-0.08220344,-0.5200206,92.40305,209.244,104.943,277.0042,81.88909,182.1323,0,0.7056026,0.2333268
9294.454,48988,right,1,50.12357,225.8249,55.68979,-39.6984,15.06697,-5.120358,0.3624419,-0.1108275,-0.52781,91.54066,206.4888,103.9676,274.5811,77.23201,181.7103,0,0.6118186,0.1845188
9294.471,48989,right,1,49.59917,226.3262,56.09278,-29.059,27.77753,22.33137,0.4182937,-0.1452689,-0.5380769,91.06236,204.3128,103.2817,274.2073,74.65536,180.1057,0,0.5416367,0.1364367
9294.487,48990,right,1,49.07623,227.213,56.67423,-28.59465,48.49066,31.79441,0.4593965,-0.1843238,-0.5503845,90.80868,203.2774,102.7702,275.074,74.436,178.2769,0,0.4813548,0.09246441
9294.504,48991,right,1,48.61671,228.6621,57.34542,-25.05446,79.01122,36.59517,0.4993094,-0.2237092,-0.5656599,90.68418,202.9772,102.2854,275.9107,75.74798,178.1731,0,0.4556081,0.06165189
9294.521,48992,right,1,48.05766,230.076,58.02771,-30.92564,78.21465,37.74293,0.536672,-0.2675776,-0.5817143,90.44072,202.773,101.8072,275.9987,77.03127,179.3463,0,0.4775959,0.04747967
9294.538,48993,right,1,47.47172,231.3538,58.59598,-32.40645,70.6741,31.42957,0.566887,-0.3258597,-0.5950627,90.07275,202.5659,101.2873,274.9555,76.88466,180.5069,0,0.5256327,0.03499269
9294.555,48994,right,1,46.82274,232.1189,59.06485,-35.78401,42.18674,25.85295,0.5828679,-0.3794833,-0.6080631,89.79088,202.4989,100.8727,274.5101,77.27628,181.1748,0,0.5594167,0.009118978
9294.571,48995,right,1,46.29096,232.6801,59.82241,-29.90049,31.55219,42.59556,0.5839295,-0.4198014,-0.6286827,90.04269,202.9948,100.7948,273.2572,76.2059,182.0519,0,0.556876,0
9294.588,48996,right,1,46.23561,232.9073,60.79421,-3.164791,12.99228,55.55996,0.5729788,-0.4427292,-0.6485271,90.82377,203.5753,101.083,270.8889,70.97053,180.0321,0,0.5337186,0
9294.604,48997,right,1,45.91611,232.4431,61.45632,-17.95005,-26.08142,37.19896,0.5690615,-0.4700973,-0.6710849,91.30851,203.1693,100.8533,267.5984,64.73758,178.2664,0,0.6350663,0
9294.622,48998,right,1,45.70444,232.4718,62.1477,-12.06801,1.636865,39.41729,0.5570071,-0.5009419,-0.6956435,92.09206,203.7044,100.7438,265.8089,62.71154,179.2929,0,0.7395144,0
9294.639,48998,right,1,45.70444,232.4718,62.1477,-12.06801,1.636865,39.41729,0.5570071,-0.5009419,-0.6956435,92.09206,203.7044,100.7438,265.8089,62.71154,179.2929,0,0.7395144,0
9294.655,48999,right,1,45.47386,232.5307,62.69126,-12.9266,3.30138,30.47239,0.5429567,-0.5275313,-0.717572,92.86012,204.4682,100.6099,266.8365,64.68707,180.7344,0,0.8401611,0
9294.672,49000,right,1,45.68962,232.126,63.60802,11.99898,-22.50718,50.98189,0.5248681,-0.539796,-0.7369428,94.02338,204.9682,100.9831,268.3183,65.79789,181.4777,0,0.9169429,0.03327318
9294.688,49001,right,1,46.16263,231.6193,64.50285,25.89674,-27.74118,48.99163,0.5116509,-0.5446715,-0.7462968,94.98265,205.0143,101.6233,268.9,64.92546,181.3374,0,0.9543795,0.1503617
9294.705,49002,right,1,46.52411,230.8647,64.69966,20.08117,-41.91995,10.93313,0.506522,-0.539408,-0.7553965,95.67822,204.5106,101.513,267.5144,61.28903,180.1666,0,0.9571381,0.199163
9294.722,49003,right,1,46.8045,230.0873,64.25277,15.42819,-42.77733,-24.58944,0.4952975,-0.5301877,-0.7568629,96.10019,204.1632,101.1329,266.3317,58.53684,178.8548,0,0.9778222,0.1800417
9294.737,49004,right,1,46.72269,228.5517,62.72565,-4.557935,-85.54631,-85.07609,0.4698135,-0.5025507,-0.7448253,95.88158,203.7589,100.519,266.3725,59.62161,180.4176,0,0.9993551,0.09644867
9294.754,49005,right,1,47.02595,227.5207,61.67647,16.92796,-57.54992,-58.56459,0.4357184,-0.4664721,-0.740647,96.30917,204.3851,100.291,265.0382,61.28021,185.6021,0,0.9770651,0.07567759
9294.771,49006,right,1,47.9104,226.2687,60.96118,50.51991,-71.51298,-40.85714,0.3976446,-0.4357466,-0.7247001,96.81702,204.7211,100.8866,262.7076,62.18023,192.4775,0,0.9465813,0.1928411
9294.788,49007,right,1,49.26765,226.0307,59.91693,76.73277,-13.45712,-59.03762,0.3581653,-0.3908519,-0.701184,97.50743,206.1902,101.4199,261.2558,63.96004,197.2507,0,0.9578871,0.1189008
9294.805,49008,right,1,50.37724,225.478,58.76458,62.9378,-31.34689,-65.36279,0.3125189,-0.325604,-0.6661875,97.62582,207.683,102.1601,262.6587,65.67406,196.0968,0,1.118868,0.1459638
9294.821,49009,right,1,51.59021,223.6997,58.00986,68.61047,-100.5888,-42.69046,0.2507492,-0.2579457,-0.6382977,98.20944,208.9027,103.0394,266.9477,69.95793,194.9538,0,1.223208,0.2048195
9294.837,49010,right,1,52.85342,221.2595,57.64508,73.3362,-141.6682,-21.17676,0.1805454,-0.1983815,-0.617973,99.03847,209.9319,103.9635,270.8627,74.689,195.6818,0,1.297194,0.2398532
9294.854,49011,right,1,54.57924,219.5296,57.69004,101.5602,-101.8017,2.645436,0.1296843,-0.1628539,-0.5996109,100.089,210.5726,105.0459,270.889,75.19465,198.4624,0,1.272242,0.2956584
9294.871,49012,right,1,56.20433,217.7193,57.80943,98.41289,-109.6307,7.230056,0.08917612,-0.1377719,-0.591287,101.2381,210.7,105.852,268.209,75.05867,205.5949,0,1.192193,0.2275531
9294.888,49013,right,1,57.78168,216.5406,57.70284,96.9604,-72.45241,-6.552457,0.07156739,-0.1234328,-0.5816124,102.2222,210.5427,106.447,266.412,77.87056,214.4577,0,1.105196,0.1830973
9294.904,49014,right,1,58.95544,214.9696,57.18982,74.7812,-100.0917,-32.68419,0.0431819,-0.09534863,-0.577783,103.0853,210.7111,106.41,266.026,83.54285,222.6212,0,1.042651,0.1048171
9294.921,49015,right,1,59.86692,213.8195,56.63445,57.90801,-73.06527,-35.28454,0.01963554,-0.07153581,-0.5773562,103.8316,211.0085,106.1115,265.4609,88.37407,228.8439,0,0.9926543,0.0227082
9294.938,49016,right,1,60.5959,212.9967,55.7561,47.91811,-54.08598,-57.73628,0.01469824,-0.0506893,-0.5667683,103.9042,210.6839,105.841,263.3641,90.40287,233.6358,0,0.9932976,0
9294.955,49017,right,1,61.16515,212.3879,55.08628,36.69268,-39.24152,-43.17548,0.00885924,-0.03300973,-0.5581959,103.9154,210.4939,105.643,260.8058,90.52201,236.8627,0,0.9755477,0
9294.971,49018,right,1,61.1218,210.6912,54.8409,-2.866551,-112.2186,-16.22836,-0.02505575,0.01375534,-0.5562338,103.6531,210.7092,105.5094,260.6799,91.40193,237.1713,0,0.925229,0
9294.987,49019,right,1,61.41905,210.2876,55.06114,19.1539,-26.00321,14.19124,-0.05928915,0.05494893,-0.5512236,103.62,212.2335,105.8746,261.7941,94.58816,237.6587,0,0.8765932,0
9295.004,49020,right,1,61.62545,209.9931,54.85358,13.96156,-19.91983,-14.04053,-0.07051875,0.08042213,-0.5413072,103.3055,212.7639,106.0403,262.6243,97.5676,238.6066,0,0.8404926,0
9295.021,49021,right,1,61.61524,209.8332,54.45729,-0.6820531,-10.68522,-26.47938,-0.06688757,0.1011344,-0.5289976,102.6815,212.7361,106.1536,263.2667,100.2686,239.5327,0,0.8005462,0
9295.038,49023,right,1,61.7588,211.2469,53.1327,2.851151,62.91917,-45.83811,-0.01526644,0.1121242,-0.5000175,101.5787,212.0703,106.015,266.251,104.4791,238.4298,0,0.6946453,0
9295.055,49024,right,1,61.41995,212.1875,52.17057,-21.92675,60.87029,-62.25767,0.01676866,0.1072599,-0.4831997,100.6496,211.5909,105.5814,270.0156,107.4472,234.7935,0,0.6144303,0
9295.07,49025,right,1,60.81644,213.0953,51.25832,-38.2864,57.58979,-57.87284,0.06606625,0.09618174,-0.4685201,99.58069,210.2372,105.0581,274.9051,111.2127,230.2859,0,0.5527341,0
