Utc Time,Frame #,hand ID,# hands in Frame,hand:,X pos,Y pos,Z pos,X_velocity,Y_velocity,Z_velocity,Pitch,Roll,yaw,Grab Strength,Pinch Strenght,arm pos x,arm pos y,arm pos z,elbow pos x,elbow pos y,elbow pos z,Sync Mode
1526971106,381857,157,2,Left hand,-114.3227767944336,125.31695556640625,-25.941015243530273,-1.9899530410766602,3.122668981552124,16.069995880126953,-15.251454009734289,-21.392448135871405,54.83180648551411,1.0,0.630169153213501,0.9307743310928345,0.04470935836434364,-0.362850159406662,-396.83233642578125,129.34271240234375,93.88021850585938,1
1526971106,381857,158,2,Right hand,143.91078186035156,192.17164611816406,-50.37461471557617,-10.701581954956055,-45.142677307128906,30.716449737548828,128.8269861565641,-26.235863398910624,-106.97078353856114,1.0,0.8395662307739258,0.04420359060168266,0.1515607386827469,0.9874590635299683,187.71951293945312,139.2017059326172,-322.1512451171875,1
1526971106,381858,157,2,Left hand,-114.36697387695312,125.39080047607422,-25.794084548950195,-5.0368218421936035,8.416427612304688,16.746261596679688,-15.22696778127397,-21.247292953935926,55.00174500914227,1.0,0.6267922520637512,0.9314051866531372,0.04541303217411041,-0.3611399233341217,-397.13751220703125,129.18045043945312,93.45134735107422,1
1526971106,381858,158,2,Right hand,143.83538818359375,191.80125427246094,-50.07725524902344,-8.5938138961792,-42.21432876586914,33.890995025634766,128.6217389696094,-26.28076677058573,-106.85255979283738,1.0,0.8400411009788513,0.053301852196455,0.14971548318862915,0.9872913360595703,185.43653869628906,139.281005859375,-321.73760986328125,1
1526971106,381859,157,2,Left hand,-114.44416046142578,125.41338348388672,-25.694000244140625,-9.029131889343262,2.6418795585632324,11.707016944885254,-15.390666927022494,-21.28584937225071,55.09477218672373,1.0,0.6250876188278198,0.9319642782211304,0.04623236507177353,-0.3595902621746063,-397.3860778808594,129.07435607910156,93.072265625,1
1526971106,381859,158,2,Right hand,143.75657653808594,191.43344116210938,-49.6978645324707,-9.217517852783203,-43.024017333984375,44.37837219238281,128.75215460314394,-26.34009208686166,-106.89651889084871,1.0,0.841935396194458,0.0617978610098362,0.1464962512254715,0.9872789978981018,183.24517822265625,139.77044677734375,-321.4223937988281,1
1526971106,381860,157,2,Left hand,-114.54935455322266,125.42582702636719,-25.648229598999023,-12.190740585327148,1.4418461322784424,5.304470539093018,-15.395016050027266,-21.653434789745916,54.97483406349829,1.0,0.6231443881988525,0.9326834082603455,0.04666244238615036,-0.35766497254371643,-397.5726318359375,129.0489501953125,92.77838897705078,1
1526971106,381860,158,2,Right hand,143.65768432617188,191.03533935546875,-49.29322052001953,-11.462052345275879,-46.13506317138672,46.89339828491211,129.24581336135816,-26.42626687707832,-107.06789516931394,1.0,0.8441190719604492,0.07036023586988449,0.13853013515472412,0.9878556728363037,181.00711059570312,141.56021118164062,-321.3333740234375,1
1526971106,381861,157,2,Left hand,-114.66082000732422,125.43965911865234,-25.576801300048828,-12.9126615524292,1.601929783821106,8.274788856506348,-15.331869242866105,-21.966163542281834,54.85877890286133,1.0,0.6220488548278809,0.933323860168457,0.04679078236222267,-0.35597366094589233,-397.7580261230469,129.0559844970703,92.56806182861328,1
1526971106,381861,158,2,Right hand,143.5349884033203,190.67221069335938,-48.85063934326172,-14.213889122009277,-42.06771469116211,51.272342681884766,129.53060493231533,-26.513210063585575,-107.17910431067821,1.0,0.845966100692749,0.07805800437927246,0.1331862360239029,0.9880123138427734,178.95657348632812,142.6346435546875,-321.0487976074219,1
1526971106,381862,157,2,Left hand,-114.83809661865234,125.48822021484375,-25.511493682861328,-20.28095054626465,5.5556464195251465,7.471307754516602,-15.23155425335517,-22.23485294208274,54.69479288916432,1.0,0.6212606430053711,0.9337906837463379,0.047267865389585495,-0.3546839654445648,-397.95037841796875,128.9914093017578,92.48858642578125,1
1526971106,381862,158,2,Right hand,143.4171142578125,190.34315490722656,-48.454219818115234,-13.483874320983887,-37.644439697265625,45.35152816772461,129.79300714291185,-26.559525576888063,-107.26894178988005,1.0,0.8469122648239136,0.08532837778329849,0.12910601496696472,0.9879527688026428,177.02166748046875,143.425048828125,-320.7424011230469,1
1526971106,381863,157,2,Left hand,-114.99092864990234,125.48883056640625,-25.39906120300293,-17.726181030273438,0.0712958574295044,13.040335655212402,-15.124132451929881,-22.50948460653092,54.54061502722993,1.0,0.6202099919319153,0.9339067339897156,0.04807489737868309,-0.35426971316337585,-398.03363037109375,128.7902069091797,92.6697769165039,1
1526971106,381863,158,2,Right hand,143.2939453125,190.08255004882812,-48.03944396972656,-14.285961151123047,-30.225828170776367,48.1065788269043,130.02247418094612,-26.61341918516314,-107.36091711831705,1.0,0.8466869592666626,0.09182969480752945,0.12571598589420319,0.9878070950508118,175.2630615234375,144.08364868164062,-320.39532470703125,1
1526971106,381864,157,2,Left hand,-115.13255310058594,125.44458770751953,-25.324535369873047,-16.160018920898438,-5.04856014251709,8.503530502319336,-14.920143727344453,-22.935054915661794,54.337433972523286,1.0,0.6181347966194153,0.9336661696434021,0.049451470375061035,-0.35471397638320923,-397.9801025390625,128.37319946289062,93.1008529663086,1
1526971106,381864,158,2,Right hand,143.19351196289062,189.8084716796875,-47.62406921386719,-11.459744453430176,-31.274131774902344,47.395782470703125,130.4123140625643,-26.755678366856728,-107.56344588995034,1.0,0.8470025658607483,0.09804582595825195,0.1200437918305397,0.9879152178764343,173.55751037597656,145.31224060058594,-320.196044921875,1
